,ot_alliri,ot_classiri,ot_proertyiri
151,https://saref.etsi.org/saref4bldg/DistributionDevice,https://saref.etsi.org/saref4bldg/DistributionDevice,https://sargon-n5geh.netlify.app/ontology/1.0/object_properties/in_room
152,https://saref.etsi.org/saref4bldg/DistributionFlowDevice,https://saref.etsi.org/saref4bldg/DistributionFlowDevice,https://sargon-n5geh.netlify.app/ontology/1.0/object_properties/is_located_at
153,https://saref.etsi.org/saref4bldg/DuctSilencer,https://saref.etsi.org/saref4bldg/DuctSilencer,https://sargon-n5geh.netlify.app/ontology/1.0/object_properties/live_in
154,https://saref.etsi.org/saref4bldg/ElectricAppliance,https://saref.etsi.org/saref4bldg/ElectricAppliance,https://sargon-n5geh.netlify.app/ontology/1.0/object_properties/located_at
155,https://saref.etsi.org/saref4bldg/ElectricFlowStorageDevice,https://saref.etsi.org/saref4bldg/ElectricFlowStorageDevice,https://sargon-n5geh.netlify.app/ontology/1.0/object_properties/located_in
156,https://saref.etsi.org/saref4bldg/ElectricGenerator,https://saref.etsi.org/saref4bldg/ElectricGenerator,https://sargon-n5geh.netlify.app/ontology/1.0/object_properties/name
157,https://saref.etsi.org/saref4bldg/ElectricMotor,https://saref.etsi.org/saref4bldg/ElectricMotor,https://sargon-n5geh.netlify.app/ontology/1.0/object_properties/ref_building
158,https://saref.etsi.org/saref4bldg/ElectricTimeControl,https://saref.etsi.org/saref4bldg/ElectricTimeControl,https://sargon-n5geh.netlify.app/ontology/1.0/object_properties/related_sensor
159,https://saref.etsi.org/saref4bldg/EnergyConversionDevice,https://saref.etsi.org/saref4bldg/EnergyConversionDevice,https://sargon-n5geh.netlify.app/ontology/1.0/object_properties/sub_category
160,https://saref.etsi.org/saref4bldg/Engine,https://saref.etsi.org/saref4bldg/Engine,https://w3id.org/saref#accomplishes
161,https://saref.etsi.org/saref4bldg/EvaporativeCooler,https://saref.etsi.org/saref4bldg/EvaporativeCooler,https://w3id.org/saref#actsUpon
162,https://saref.etsi.org/saref4bldg/Evaporator,https://saref.etsi.org/saref4bldg/Evaporator,https://w3id.org/saref#consistsOf
163,https://saref.etsi.org/saref4bldg/Fan,https://saref.etsi.org/saref4bldg/Fan,https://w3id.org/saref#controlsProperty
164,https://saref.etsi.org/saref4bldg/Filter,https://saref.etsi.org/saref4bldg/Filter,https://w3id.org/saref#hasCommand
165,https://saref.etsi.org/saref4bldg/FireSuppressionTerminal,https://saref.etsi.org/saref4bldg/FireSuppressionTerminal,https://w3id.org/saref#hasFunction
166,https://saref.etsi.org/saref4bldg/FlowController,https://saref.etsi.org/saref4bldg/FlowController,https://w3id.org/saref#hasMeterReading
167,https://saref.etsi.org/saref4bldg/FlowInstrument,https://saref.etsi.org/saref4bldg/FlowInstrument,https://w3id.org/saref#hasMeterReadingType
168,https://saref.etsi.org/saref4bldg/FlowMeter,https://saref.etsi.org/saref4bldg/FlowMeter,https://w3id.org/saref#hasPrice
169,https://saref.etsi.org/saref4bldg/FlowMovingDevice,https://saref.etsi.org/saref4bldg/FlowMovingDevice,https://w3id.org/saref#hasProfile
170,https://saref.etsi.org/saref4bldg/FlowStorageDevice,https://saref.etsi.org/saref4bldg/FlowStorageDevice,https://w3id.org/saref#hasSensingRange
171,https://saref.etsi.org/saref4bldg/FlowTerminal,https://saref.etsi.org/saref4bldg/FlowTerminal,https://w3id.org/saref#hasSensorType
172,https://saref.etsi.org/saref4bldg/FlowTreatmentDevice,https://saref.etsi.org/saref4bldg/FlowTreatmentDevice,https://w3id.org/saref#hasState
173,https://saref.etsi.org/saref4bldg/HeatExchanger,https://saref.etsi.org/saref4bldg/HeatExchanger,https://w3id.org/saref#hasThresholdMeasurement
174,https://saref.etsi.org/saref4bldg/Humidifier,https://saref.etsi.org/saref4bldg/Humidifier,https://w3id.org/saref#hasTime
175,https://saref.etsi.org/saref4bldg/Interceptor,https://saref.etsi.org/saref4bldg/Interceptor,https://w3id.org/saref#hasTypicalConsumption
176,https://saref.etsi.org/saref4bldg/Lamp,https://saref.etsi.org/saref4bldg/Lamp,https://w3id.org/saref#isAbout
177,https://saref.etsi.org/saref4bldg/MedicalDevice,https://saref.etsi.org/saref4bldg/MedicalDevice,https://w3id.org/saref#isAccomplishedBy
178,https://saref.etsi.org/saref4bldg/Outlet,https://saref.etsi.org/saref4bldg/Outlet,https://w3id.org/saref#isCommandOf
179,https://saref.etsi.org/saref4bldg/PhysicalObject,https://saref.etsi.org/saref4bldg/PhysicalObject,https://w3id.org/saref#isControlledByDevice
